City,Latitude,Longitude,Color
Santiago de Compostela|Galicia|Spain,42.88,-8.56,blue
Chenghua District|Sichuan|China,30.74,104.14,red
Ljubljana|@|Slovenia,46.07,14.51,red
Galveston|Texas|United States,29.31,-94.79,blue
Bilbao|Autonomous Community of the Basque Country|Spain,43.27,-2.94,blue
Gießen|Hesse|Germany,50.59,8.68,blue
City of Albany|New York|United States,42.65,-73.75,red
Daegu|@|South Korea,35.85,128.59,red
Newcastle|New South Wales|Australia,-32.89,151.7,red
Toulouse|Occitania|France,43.6,1.46,red
Seville|Andalusia|Spain,37.38,-5.99,blue
Toledo|Ohio|United States,41.67,-83.54,red
Ede|Gelderland|Netherlands,52.03,5.63,blue
Rajpur Sonarpur|West Bengal|India,22.52,88.42,red
Dongcheng District|Beijing|China,39.91,116.41,red
Manville|New Jersey|United States,40.54,-74.58,red
Niigata|@|Japan,37.88,138.96,blue
Hart|England|United Kingdom,51.3,-0.82,red
Tabriz|East Azerbaijan Province|Iran,38.07,46.29,red
Giza|Giza|Egypt,30.04,31.22,red
Baldwin Park|California|United States,34.09,-117.95,red
Jingkou District|Jiangsu|China,32.19,119.52,red
Cairo|Cairo|Egypt,30.08,31.29,red
North Hertfordshire|England|United Kingdom,51.95,-0.28,red
Durham|England|United Kingdom,54.8,-1.61,red
Baoshan District|@|China,31.41,121.49,red
Suzhou City|Jiangsu|China,31.59,120.78,blue
Kunming|Yunnan|China,25.06,102.7,red
Little Rock|Arkansas|United States,34.75,-92.32,blue
Lyon|Auvergne-Rhône-Alpes|France,45.75,4.85,blue
Bordeaux|New Aquitaine|France,44.83,-0.61,red
Indianapolis|Indiana|United States,39.83,-86.18,red
Wellington|Wellington|New Zealand,-41.29,174.76,blue
Naples|Campania|Italy,40.85,14.25,blue
Auburn|Alabama|United States,32.61,-85.43,red
Gdansk|Pomeranian Voivodeship|Poland,54.34,18.66,red
Kumamoto|@|Japan,32.81,130.73,red
Perugia|Umbria|Italy,43.12,12.39,blue
Saint Louis|Missouri|United States,38.63,-90.2,red
Swansea|Wales|United Kingdom,51.62,-3.98,red
Espoo|@|Finland,60.19,24.81,red
Guwahati|Assam|India,26.15,91.66,blue
George Town|Penang|Malaysia,5.42,100.31,red
Riyadh|Riyadh Region|Saudi Arabia,24.69,46.71,red
Linköping|@|Sweden,58.4,15.56,red
Puducherry|Puducherry|India,11.94,79.84,red
Jena|Thuringia|Germany,50.91,11.57,blue
Darmstadt|Hesse|Germany,49.87,8.65,red
Kiel|Schleswig-Holstein|Germany,54.34,10.12,blue
Reigate and Banstead|England|United Kingdom,51.34,-0.19,red
Mashhad|Razavi Khorasan|Iran,36.31,59.53,red
Pidu District|Sichuan|China,30.77,103.98,blue
Brighton|England|United Kingdom,50.83,-0.13,red
Burlington|Vermont|United States,44.45,-73.22,blue
Oulu|@|Finland,65.01,25.51,red
Norman|Oklahoma|United States,35.23,-97.44,red
Borough of Charnwood|England|United Kingdom,52.77,-1.22,red
Tokushima|@|Japan,34.04,134.53,red
Pohang-si|@|South Korea,36.01,129.33,red
Palermo|Sicily|Italy,38.12,13.37,blue
Eugene|Oregon|United States,44.05,-123.08,red
Exeter|England|United Kingdom,50.71,-3.52,red
Innsbruck|Tyrol|Austria,47.26,11.38,blue
Maastricht|Limburg|Netherlands,50.84,5.72,blue
City of Troy|New York|United States,42.73,-73.69,red
Incheon|@|South Korea,37.54,126.72,red
Enschede|Overijssel|Netherlands,52.24,6.85,red
Subang Jaya|Selangor|Malaysia,3.08,101.59,red
Antwerp|Antwerp|Belgium,51.22,4.41,blue
Laoshan District|Shandong|China,36.12,120.48,red
Iksan-si|@|South Korea,35.97,126.96,red
Gifu|@|Japan,35.43,136.72,red
Nagasaki|@|Japan,32.75,129.94,red
Cangshan|Fujian|China,26.09,119.23,blue
Bath|England|United Kingdom,51.39,-2.36,red
Anderson|South Carolina|United States,34.51,-82.65,red
Stillwater|Oklahoma|United States,36.13,-97.07,red
Triest|Friuli-Venezia Giulia|Italy,45.65,13.85,blue
Burnaby|British Columbia|Canada,49.28,-122.92,blue
Islamabad|Islamabad Capital Territory|Pakistan,33.71,73.07,red
Qinhuai District|Jiangsu|China,32.04,118.81,red
Florianópolis|Santa Catarina|Brazil,-27.6,-48.52,red
Guildford|England|United Kingdom,51.24,-0.61,red
Zaragoza|Aragon|Spain,41.64,-0.9,blue
"Municipal Unit of Agrinio|Peloponnese, Western Greece and the Ionian|Greece",38.64,21.4,red
Mangalore|Karnataka|India,12.87,74.86,red
Vellore|Tamil Nadu|India,12.88,79.12,red
Marseille|Provence-Alpes-Côte d'Azur|France,43.34,5.44,blue
Saarbrücken|Saarland|Germany,49.26,7.04,red
Zielona Góra|Lubusz Voivodeship|Poland,51.94,15.51,red
Montpellier|Occitania|France,43.63,3.86,blue
Orlando|Florida|United States,28.45,-81.4,red
York|England|United Kingdom,53.96,-1.09,red
Bogota|@|Colombia,4.71,-74.03,red
Binhu District|Jiangsu|China,31.48,120.28,blue
Roorkee|Uttarakhand|India,29.87,77.89,red
Tuscaloosa|Alabama|United States,33.21,-87.56,red
Aurora|Colorado|United States,39.74,-104.84,blue
Beibei|Chongqing|China,29.81,106.41,blue
Oviedo / Uviéu|Asturias|Spain,43.36,-5.85,blue
Hertsmere|England|United Kingdom,51.65,-0.32,red
Thiruvananthapuram|Kerala|India,8.52,76.93,red
Maebashi|@|Japan,36.43,139.04,red
Provo|Utah|United States,40.21,-111.65,red
Leiria|@|Portugal,39.74,-8.81,blue
Christchurch|Canterbury|New Zealand,-43.52,172.58,red
Waltham|Massachusetts|United States,42.4,-71.26,red
Curitiba|Paraná|Brazil,-25.45,-49.36,red
Jeddah|Makkah Region|Saudi Arabia,21.49,39.25,red
San Ramon|California|United States,37.76,-121.96,red
Mysuru|Karnataka|India,12.31,76.64,red
Augusta|Georgia|United States,33.47,-81.99,blue
Matsumoto|@|Japan,36.18,137.94,red
Wollongong City Council|New South Wales|Australia,-34.41,150.88,red
Yeni Mahalle|@|Turkey,40.81,29.36,red
Villeurbanne|Auvergne-Rhône-Alpes|France,45.78,4.87,red
Saga|@|Japan,33.25,130.29,red
Sherbrooke|Quebec|Canada,45.45,-71.87,blue
Pavia|Lombardy|Italy,45.19,9.16,red
Fayetteville|Arkansas|United States,36.07,-94.17,red
Łódź|Łódź Voivodeship|Poland,51.8,19.44,red
Pune|Maharashtra|India,18.54,73.8,red
Lower Hutt|Wellington|New Zealand,-41.22,174.88,red
Oakland|California|United States,37.81,-122.27,blue
Norwich|England|United Kingdom,52.62,1.24,blue
Aligarh|Uttar Pradesh|India,27.91,78.08,red
Cork|@|Ireland,51.89,-8.51,blue
Geelong|Victoria|Australia,-38.15,144.37,red
Catania|Sicily|Italy,37.52,15.06,red
Zagreb|@|Croatia,45.79,15.97,red
Shinan|Shandong|China,36.06,120.33,blue
Murcia|Region of Murcia|Spain,38.02,-1.17,blue
Marburg|Hesse|Germany,50.81,8.81,blue
Ardenais|Centre-Loire Valley|France,46.64,2.34,red
Lubbock|Texas|United States,33.59,-101.89,red
Genoa|Liguria|Italy,44.42,8.93,red
Brno|Southeast|Czechia,49.2,16.55,red
Bari|Apulia|Italy,41.12,16.87,red
Ulm|Baden-Württemberg|Germany,48.42,9.95,blue
Nanchang|Jiangxi|China,28.67,115.81,red
El Paso|Texas|United States,31.77,-106.5,red
Nonthaburi City Municipality|Nonthaburi Province|Thailand,13.88,100.54,red
Yuzhong District|Chongqing|China,29.56,106.55,red
Shinagawa|@|Japan,35.62,139.73,red
Shahekou|Liaoning|China,38.9,121.59,red
Coimbatore|Tamil Nadu|India,11.03,77.02,red
Tambaram|Tamil Nadu|India,12.9,80.12,red
Koto|@|Japan,35.68,139.81,red
Yamaguchi|@|Japan,34.19,131.5,red
Logan|Utah|United States,41.74,-111.81,red
Reno|Nevada|United States,39.57,-119.8,blue
Sceaux|Ile-de-France|France,48.77,2.29,red
Hobart|Tasmania|Australia,-42.88,147.33,blue
Kajang Municipal Council|Selangor|Malaysia,2.99,101.79,red
Shizuoka|@|Japan,34.98,138.44,red
Recife|Pernambuco|Brazil,-8.05,-34.95,red
Brunswick|Lower Saxony|Germany,52.27,10.53,red
Würzburg|Bavaria|Germany,49.79,9.94,blue
Pamplona|Navarre|Spain,42.8,-1.64,blue
Wilmington|Delaware|United States,39.74,-75.55,red
Karachi|Sindh|Pakistan,24.88,67.05,red
St. John's|Newfoundland and Labrador|Canada,47.58,-52.74,blue
Tauranga|Bay of Plenty|New Zealand,-37.73,176.15,blue
Bremen|Free Hanseatic City of Bremen|Germany,53.11,8.85,blue
Townsville|Queensland|Australia,-19.33,146.76,blue
Rennes|Brittany|France,48.11,-1.71,blue
Lublin|Lublin Voivodeship|Poland,51.24,22.54,red
Oklahoma City|Oklahoma|United States,35.41,-97.39,blue
Münster|North Rhine-Westphalia|Germany,51.98,7.6,blue
Iskandar Puteri|Johor|Malaysia,1.47,103.59,red
Saanich|British Columbia|Canada,48.47,-123.31,blue
Kagoshima|@|Japan,31.49,130.5,red
Putuo District|@|China,31.23,121.4,blue
Beirut|Beirut Governorate|Lebanon,33.89,35.5,red
Qiantang District|Zhejiang|China,30.32,120.39,red
Tampere|@|Finland,61.5,23.76,red
Cordova|Andalusia|Spain,37.88,-4.79,red
Matsuyama|@|Japan,33.86,132.77,red
Alpine|New Jersey|United States,41.0,-73.91,red
